,Incident.Date,State,City.Or.County,Address,X..Killed,X..Injured,Operations,fullad,long,lat
103,10-Aug-14,Louisiana,New Orleans,5400 block of Burgundy St,2,5,N/A,"5400 block of Burgundy St ,  New Orleans ,  Louisiana",-90.019197,29.959362
104,10-Aug-14,California,Moreno Valley,16300 block of Heather Glen Road ,0,7,N/A,"16300 block of Heather Glen Road  ,  Moreno Valley ,  California",-117.2217604,33.883616
105,10-Aug-14,District of Columbia,Washington,N Street SW,0,6,N/A,"N Street SW ,  Washington ,  District of Columbia",-77.0157117,38.8746445
106,10-Aug-14,Georgia,Wrightsville,N/A,0,6,N/A,"N/A ,  Wrightsville ,  Georgia",-82.719859,32.7293279
107,9-Aug-14,Minnesota,Minneapolis,400 3rd Ave N,1,8,N/A,"400 3rd Ave N ,  Minneapolis ,  Minnesota",-93.275227,44.982867
108,8-Aug-14,Wisconsin,Milwaukee,3000 block of N. 28th Street ,0,4,N/A,"3000 block of N. 28th Street  ,  Milwaukee ,  Wisconsin",-87.9485535,43.073509
109,8-Aug-14,New Mexico,Albuquerque,3426 Vassar NE,1,3,N/A,"3426 Vassar NE ,  Albuquerque ,  New Mexico",-106.614901,35.1194254
110,8-Aug-14,District of Columbia,Washington,Second Street and Todd Place NE,0,4,N/A,"Second Street and Todd Place NE ,  Washington ,  District of Columbia",-77.00352,38.916289
111,6-Aug-14,California,Bakersfield,1700 block of Quincy Street ,3,1,N/A,"1700 block of Quincy Street  ,  Bakersfield ,  California",-118.9744486,35.3814817
112,4-Aug-14,Georgia,Atlanta,1100 block of Joseph E. Boone Boulevard NW,0,5,N/A,"1100 block of Joseph E. Boone Boulevard NW ,  Atlanta ,  Georgia",-84.423478,33.763503
113,3-Aug-14,Texas,Humble,3403 FM 1960,0,7,N/A,"3403 FM 1960 ,  Humble ,  Texas",-95.2216679,30.0001012
114,3-Aug-14,Missouri,Saint Louis,5200 block of Thekla ,0,5,N/A,"5200 block of Thekla  ,  Saint Louis ,  Missouri",-90.2433765,38.6904392
115,3-Aug-14,Virginia,Culpeper,4400 block of Rixeyville Road,5,0,N/A,"4400 block of Rixeyville Road ,  Culpeper ,  Virginia",-77.979835,38.533908
116,3-Aug-14,Tennessee,Columbia,East 9th Street and Bridge Street,0,5,N/A,"East 9th Street and Bridge Street ,  Columbia ,  Tennessee",-87.0298075,35.611702
117,2-Aug-14,Texas,Dallas,5125 Wynell Street,3,1,N/A,"5125 Wynell Street ,  Dallas ,  Texas",-96.7824651,32.6858171
118,2-Aug-14,Pennsylvania,Pittsburgh,Penn Avenue and 29th Street,1,5,N/A,"Penn Avenue and 29th Street ,  Pittsburgh ,  Pennsylvania",-79.9741991,40.4578461
119,2-Aug-14,Massachusetts,New Bedford,Acushnet Avenue,0,7,N/A,"Acushnet Avenue ,  New Bedford ,  Massachusetts",-70.9272028,41.6879434
120,1-Aug-14,Pennsylvania,Philadelphia,1500 block of South Etting Street,1,3,N/A,"1500 block of South Etting Street ,  Philadelphia ,  Pennsylvania",-75.1901392,39.9344576
121,30-Jul-14,North Carolina,Hope Mills,926 Bramblegate Road,3,2,N/A,"926 Bramblegate Road ,  Hope Mills ,  North Carolina",-78.921686,34.968673
122,28-Jul-14,Pennsylvania,Philadelphia,4900 block of North Front Street,1,4,N/A,"4900 block of North Front Street ,  Philadelphia ,  Pennsylvania",-75.123889,40.024743
123,27-Jul-14,Missouri,Saint Louis,2000 block of East John Avenue,0,5,N/A,"2000 block of East John Avenue ,  Saint Louis ,  Missouri",-90.209797,38.6716819
